Time_ms,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24
6035,99.94,97.24,31.29,29.41,30.58,30.49,50.91,30.75,31.02,31.84,32.41,32.03,39.39,36.71,33.01,31.93,40.43,44.24,38.01,38.83,39.25,38.69,42.83,95.52
6056,100.87,98.12,31.2,29.41,30.58,30.49,61.33,30.75,31.02,31.84,32.41,32.12,39.39,36.84,32.91,31.93,40.43,44.24,37.87,38.97,39.25,38.69,42.83,94.68
6074,99.94,97.24,31.29,29.41,30.58,30.49,33.42,30.66,31.02,31.84,32.51,32.03,39.39,36.84,33.01,31.84,40.43,44.24,38.01,38.83,39.25,38.55,42.83,94.68
6095,99.94,97.24,31.29,29.41,30.58,30.49,33.11,30.66,31.02,31.84,32.41,32.03,39.39,36.84,33.01,31.93,40.43,44.24,38.01,38.83,39.25,38.55,42.83,94.68
6115,99.94,97.24,31.29,29.41,30.58,30.49,33.01,30.75,31.02,31.84,32.41,32.03,39.25,36.71,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,42.83,94.68
6134,99.94,97.24,31.29,29.41,30.58,30.49,33.11,30.75,31.02,31.84,32.51,32.03,39.39,36.84,33.01,31.93,40.43,44.24,38.01,38.97,39.25,38.69,42.83,93.86
6154,99.02,96.37,31.29,29.41,30.66,30.49,33.21,30.75,31.02,31.84,32.41,32.03,39.25,36.84,33.01,31.93,40.43,44.24,38.01,38.83,39.25,38.69,42.83,94.68
6173,99.94,97.24,31.2,29.41,30.58,30.49,33.21,30.75,31.11,31.84,32.41,32.03,39.39,36.84,33.01,31.93,40.43,44.24,38.01,38.97,39.25,38.55,42.83,94.68
6193,99.02,97.24,31.29,29.41,30.58,30.49,33.31,30.75,31.11,31.84,32.51,32.12,39.25,36.84,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.55,42.83,94.68
6211,99.02,97.24,31.2,29.41,30.58,30.49,33.01,30.66,31.11,31.84,32.41,32.03,39.25,36.84,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,42.83,94.68
6232,99.94,96.37,31.2,29.41,30.58,30.49,33.01,30.75,31.2,31.93,32.51,32.12,39.39,36.84,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.55,42.83,94.68
6252,99.02,96.37,31.29,29.41,30.58,30.49,32.91,30.66,31.02,31.93,32.41,32.03,39.39,36.71,33.01,31.93,40.27,44.24,38.01,38.97,39.25,38.69,42.83,94.68
6271,99.02,97.24,31.29,29.41,30.58,30.49,32.91,30.75,31.02,31.93,32.41,32.12,39.39,36.84,33.01,31.93,40.43,44.06,38.01,38.97,39.25,38.69,42.83,94.68
