Time_ms,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24
38951,101.83,103.78,31.47,29.9,30.49,30.49,62.03,31.2,31.65,31.84,32.51,32.12,58.98,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38971,101.83,103.78,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.12,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
38990,101.83,104.79,31.56,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.22,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39010,101.83,103.78,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.22,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.83,39.98,38.69,43.17,93.05
39029,101.83,104.79,31.47,29.9,30.49,30.49,62.03,31.2,31.65,31.84,32.51,32.12,59.31,36.34,32.91,31.29,39.98,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39049,101.83,103.78,31.47,29.9,30.49,30.49,62.39,31.11,31.65,31.84,32.41,32.22,59.31,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39068,101.83,104.79,31.47,29.9,30.49,30.49,62.03,31.2,31.65,31.84,32.41,32.22,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39088,101.83,104.79,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.22,59.31,36.34,32.91,31.29,40.27,45.16,38.55,38.97,39.98,38.69,43.17,93.05
39109,101.83,104.79,31.47,29.98,30.49,30.49,62.03,31.2,31.56,31.84,32.51,32.22,59.31,36.34,32.91,31.29,40.27,45.16,38.55,38.97,39.98,38.69,43.17,93.05
39127,101.83,104.79,31.47,29.98,30.49,30.49,62.39,31.2,31.65,31.84,32.41,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43,93.05
39147,101.83,104.79,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.12,59.31,36.22,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39166,101.83,104.79,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.22,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39186,100.87,103.78,31.47,29.9,30.49,30.49,62.03,31.2,31.65,31.84,32.51,32.22,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39205,101.83,104.79,31.47,29.9,30.49,30.49,62.03,31.2,31.65,31.84,32.51,32.12,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43,93.05
39225,101.83,104.79,31.47,29.9,30.49,30.49,62.39,31.11,31.65,31.84,32.51,32.12,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39246,101.83,104.79,31.47,29.9,30.49,30.49,62.03,31.2,31.65,31.84,32.51,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.83,39.98,38.69,43.17,93.05
39264,101.83,103.78,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.12,58.98,36.34,32.91,31.29,40.27,45.16,38.55,38.97,39.98,38.69,43.17,93.05
39285,101.83,104.79,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.22,58.98,36.22,32.91,31.29,40.27,45.35,38.55,38.97,39.83,38.69,43.17,93.05
39303,101.83,104.79,31.47,29.9,30.49,30.49,62.39,31.11,31.65,31.84,32.51,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39324,101.83,103.78,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.22,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.83,38.83,43.17,93.05
39344,101.83,104.79,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.41,32.12,59.31,36.71,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43,92.25
39362,100.87,103.78,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.22,58.98,36.22,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39383,100.87,104.79,31.47,29.9,30.49,30.49,62.39,31.2,31.75,31.84,32.41,32.12,59.31,36.34,33.01,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39401,101.83,103.78,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.22,58.66,36.22,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39422,101.83,103.78,31.47,29.9,30.49,30.49,62.39,31.11,31.65,31.84,32.51,32.22,58.66,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43,93.05
39440,101.83,104.79,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.12,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
39461,101.83,104.79,31.47,29.9,30.49,30.49,62.03,31.2,31.75,31.84,32.41,32.22,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
